CustomerID,Age,Gender,SeniorCitizen,Partner,Dependents,Tenure_Months,Contract,PaperlessBilling,PaymentMethod,InternetService,OnlineSecurity,TechSupport,NumProducts,SupportCalls,MonthlyCharges,TotalCharges,Churn
CUST0029,68,Female,0,1,0,51,Two Year,1,Electronic Check,No,0,0,3,3,106.7,5161.42,0
CUST0030,36,Female,0,1,0,55,Month-to-Month,0,Electronic Check,No,0,0,3,7,77.87,3794.86,1
CUST0031,45,Female,1,1,1,64,Month-to-Month,0,Electronic Check,Fiber Optic,0,0,3,6,63.86,3591.44,0
CUST0032,38,Male,0,0,1,3,Month-to-Month,0,Credit Card,Fiber Optic,1,0,2,6,92.53,274.19,0
CUST0033,64,Female,0,0,0,51,Two Year,0,Electronic Check,No,0,1,4,7,68.67,3030.32,0
CUST0034,31,Male,0,0,1,7,Two Year,1,Mailed Check,No,1,1,2,0,107.34,695.7,0
CUST0035,50,Female,0,1,0,21,Month-to-Month,0,Credit Card,Fiber Optic,0,0,1,4,110.07,2041.32,1
CUST0036,65,Male,1,1,0,39,One Year,0,Bank Transfer,Fiber Optic,0,0,2,1,62.17,2075.09,0
CUST0037,27,Male,0,1,0,18,One Year,1,Mailed Check,Fiber Optic,0,1,1,1,47.68,734.14,0
CUST0038,36,Female,0,1,1,4,Two Year,1,Credit Card,No,0,1,4,0,79.24,277.75,0
CUST0039,47,Male,0,1,0,60,Month-to-Month,1,Electronic Check,Fiber Optic,1,1,3,4,111.24,6541.02,1
CUST0040,39,Male,0,0,0,14,Month-to-Month,1,Bank Transfer,DSL,1,0,3,1,41.07,513.1,1
CUST0041,20,Female,0,0,1,9,Two Year,1,Electronic Check,No,0,1,2,3,82.3,735.2,0
CUST0042,54,Male,0,0,0,53,Month-to-Month,0,Mailed Check,Fiber Optic,0,1,3,2,83.16,4130.88,1
CUST0043,58,Female,0,1,0,2,Month-to-Month,1,Mailed Check,DSL,1,1,4,2,93.31,170.85,1
CUST0044,35,Male,0,0,0,60,Month-to-Month,1,Credit Card,Fiber Optic,1,0,3,1,33.16,1864.28,1
CUST0045,28,Male,0,1,0,71,Month-to-Month,1,Mailed Check,No,1,0,2,5,91.58,6030.8,1
CUST0046,65,Male,0,0,0,44,Month-to-Month,1,Bank Transfer,Fiber Optic,1,0,4,1,110.9,4703.04,1
CUST0047,19,Male,0,0,1,8,Two Year,1,Credit Card,DSL,0,0,1,7,37.97,271.07,1
CUST0048,29,Female,1,1,0,47,Month-to-Month,0,Bank Transfer,DSL,1,1,2,7,43.75,1856.71,0
CUST0049,71,Female,1,0,0,35,Month-to-Month,0,Electronic Check,Fiber Optic,0,1,1,4,117.14,4034.77,0
CUST0050,23,Female,0,0,0,36,One Year,1,Bank Transfer,Fiber Optic,0,1,4,9,38.1,1360.58,0
CUST0051,60,Male,1,0,0,50,Month-to-Month,1,Bank Transfer,Fiber Optic,1,1,2,6,105.44,5187.04,1
CUST0052,57,Male,0,0,0,4,Month-to-Month,0,Mailed Check,Fiber Optic,1,1,2,3,69.23,252.81,0
CUST0053,61,Female,0,0,1,2,One Year,1,Electronic Check,No,1,0,4,0,44.72,86.49,0
CUST0054,46,Female,0,0,0,6,Two Year,1,Mailed Check,No,0,1,3,1,107.07,591.96,0
CUST0055,47,Female,0,0,0,54,One Year,0,Electronic Check,DSL,0,1,2,9,64.53,3221.99,0
CUST0056,19,Female,0,1,0,4,One Year,1,Electronic Check,DSL,0,0,2,9,71.48,251.81,1
CUST0057,26,Male,0,0,0,54,Month-to-Month,1,Bank Transfer,DSL,1,0,1,3,55.92,2834.48,0
CUST0058,64,Female,1,1,1,63,Two Year,0,Mailed Check,No,0,1,3,0,79.3,4386.0,0
CUST0059,19,Male,0,0,1,18,Month-to-Month,1,Bank Transfer,Fiber Optic,1,1,1,7,36.35,588.7,1
CUST0060,46,Female,0,1,0,44,One Year,0,Bank Transfer,Fiber Optic,0,0,1,8,59.11,2544.28,0
CUST0061,50,Male,0,1,1,34,Month-to-Month,1,Bank Transfer,Fiber Optic,1,1,3,3,116.94,3503.06,1
CUST0062,27,Female,0,0,0,62,Two Year,0,Electronic Check,DSL,1,1,3,9,45.81,2444.5,0
CUST0063,51,Female,0,1,0,14,One Year,1,Mailed Check,DSL,0,1,4,2,85.67,1031.89,0
CUST0064,61,Male,0,1,0,48,One Year,0,Mailed Check,DSL,0,0,3,1,52.52,2498.57,0
CUST0065,72,Male,0,0,0,15,Month-to-Month,0,Bank Transfer,Fiber Optic,1,0,2,4,97.35,1352.25,1
CUST0066,25,Female,0,1,1,72,Month-to-Month,1,Electronic Check,DSL,1,1,3,2,33.09,2171.42,0
CUST0067,54,Male,0,0,0,62,One Year,0,Mailed Check,Fiber Optic,1,1,4,9,116.98,7047.01,1
CUST0068,71,Female,0,1,0,40,One Year,1,Credit Card,Fiber Optic,1,0,4,6,65.38,2550.8,1
CUST0069,50,Male,0,1,1,53,Month-to-Month,1,Mailed Check,Fiber Optic,0,0,4,5,43.61,2079.8,1
CUST0070,64,Female,0,1,0,24,Two Year,1,Bank Transfer,Fiber Optic,1,0,3,0,27.35,626.23,0
CUST0071,23,Female,0,1,1,26,Two Year,1,Credit Card,DSL,0,0,3,7,36.98,928.47,1
CUST0072,61,Female,1,0,0,60,Month-to-Month,0,Electronic Check,Fiber Optic,1,1,1,1,71.98,4095.08,1
CUST0073,57,Female,0,0,0,41,Two Year,0,Credit Card,DSL,0,1,1,4,53.7,1921.51,0
CUST0074,62,Female,1,0,1,29,Month-to-Month,1,Credit Card,DSL,1,0,2,8,102.89,2928.26,1
CUST0075,36,Female,1,0,0,15,Month-to-Month,1,Bank Transfer,Fiber Optic,0,0,1,7,63.09,880.92,1
CUST0076,49,Female,0,0,1,45,Month-to-Month,0,Mailed Check,Fiber Optic,0,1,2,1,44.87,1801.83,0
CUST0077,44,Female,0,1,0,65,One Year,1,Electronic Check,No,0,0,4,8,81.71,4853.25,0
CUST0078,18,Male,1,0,1,71,One Year,1,Credit Card,Fiber Optic,1,1,1,4,90.68,5508.82,0
CUST0079,60,Male,1,1,0,9,Month-to-Month,1,Bank Transfer,Fiber Optic,1,1,3,9,36.7,287.09,1
CUST0080,69,Male,0,0,0,1,One Year,1,Mailed Check,Fiber Optic,1,1,1,5,36.76,35.47,0
CUST0081,50,Female,0,0,1,8,One Year,1,Credit Card,DSL,0,0,2,2,23.67,160.96,1
CUST0082,57,Female,0,0,0,63,One Year,1,Bank Transfer,DSL,1,0,1,2,93.64,5383.04,1
CUST0083,49,Female,0,0,1,11,Month-to-Month,1,Bank Transfer,DSL,1,0,4,9,86.38,882.12,0
CUST0084,22,Male,0,1,1,8,Two Year,0,Bank Transfer,DSL,0,0,3,7,67.46,463.15,1
CUST0085,34,Male,0,0,1,35,Month-to-Month,1,Electronic Check,Fiber Optic,0,0,2,9,104.42,3639.94,1
CUST0086,25,Male,0,1,1,35,Month-to-Month,1,Mailed Check,Fiber Optic,0,1,3,9,100.57,3111.35,0
CUST0087,74,Male,0,1,0,33,Month-to-Month,1,Credit Card,No,0,1,3,1,78.54,2321.31,0
CUST0088,59,Male,0,0,0,5,Month-to-Month,1,Mailed Check,No,0,1,2,1,106.83,478.38,1
CUST0089,51,Female,0,1,0,41,Two Year,0,Mailed Check,Fiber Optic,1,0,3,4,40.58,1471.72,0
CUST0090,26,Male,0,1,0,28,Month-to-Month,1,Credit Card,DSL,0,1,3,5,31.19,742.52,0
CUST0091,73,Female,1,0,0,7,One Year,1,Mailed Check,Fiber Optic,1,1,1,1,46.97,315.44,0
CUST0092,40,Female,0,1,0,72,Month-to-Month,0,Electronic Check,Fiber Optic,1,0,3,4,25.71,1841.91,1
CUST0093,52,Female,0,0,0,12,Month-to-Month,0,Credit Card,Fiber Optic,1,1,3,6,73.12,775.34,0
CUST0094,67,Male,0,0,0,34,Two Year,1,Credit Card,Fiber Optic,1,0,3,9,113.66,3669.12,0
CUST0095,24,Male,0,1,0,33,One Year,0,Bank Transfer,DSL,0,0,3,9,23.93,759.12,1
CUST0096,32,Female,0,1,1,48,Month-to-Month,0,Mailed Check,DSL,1,0,2,7,32.21,1510.93,0
CUST0097,70,Male,0,1,0,23,Month-to-Month,0,Credit Card,Fiber Optic,0,1,4,6,65.22,1370.15,0
CUST0098,71,Male,0,1,0,62,Month-to-Month,1,Credit Card,Fiber Optic,1,1,1,7,113.39,6295.1,1
CUST0099,37,Female,0,1,1,37,Month-to-Month,1,Electronic Check,No,1,0,3,8,51.62,1716.64,0
CUST0100,67,Female,0,1,0,44,One Year,0,Bank Transfer,Fiber Optic,1,0,3,4,70.72,2977.55,1
CUST0101,42,Female,0,1,1,35,One Year,1,Credit Card,DSL,1,0,2,4,24.16,822.36,0
CUST0102,20,Female,1,0,0,65,Month-to-Month,1,Electronic Check,Fiber Optic,0,0,4,9,34.83,1986.03,0
CUST0103,72,Female,0,0,0,47,Two Year,0,Credit Card,DSL,0,0,3,3,118.66,5050.78,0
CUST0104,63,Male,0,0,0,3,One Year,0,Credit Card,Fiber Optic,1,0,2,8,116.51,344.39,0
CUST0105,41,Female,0,1,1,1,Month-to-Month,1,Credit Card,Fiber Optic,0,0,1,4,20.49,19.9,0
CUST0106,51,Male,0,1,0,5,Month-to-Month,1,Electronic Check,Fiber Optic,1,1,1,1,115.18,574.59,1
CUST0107,63,Male,0,1,1,14,One Year,1,Mailed Check,Fiber Optic,0,1,3,9,83.91,1131.44,1
CUST0108,39,Female,0,0,0,27,One Year,1,Credit Card,Fiber Optic,1,1,3,7,106.79,2620.89,1
CUST0109,28,Female,0,0,0,9,Month-to-Month,0,Credit Card,DSL,0,0,4,6,65.47,553.05,1
CUST0110,65,Male,0,0,0,15,Month-to-Month,1,Mailed Check,Fiber Optic,1,0,4,7,71.56,1018.82,0
CUST0111,25,Female,1,1,0,42,Month-to-Month,0,Credit Card,Fiber Optic,1,0,3,2,68.88,2493.06,0
CUST0112,56,Male,0,0,0,51,Two Year,1,Bank Transfer,DSL,0,0,2,3,86.69,4119.11,0
CUST0113,60,Female,0,0,1,63,Month-to-Month,0,Credit Card,DSL,0,0,4,4,33.97,2046.8,0
CUST0114,52,Female,0,1,0,52,Month-to-Month,0,Bank Transfer,No,0,1,3,5,23.0,1046.62,1
CUST0115,66,Male,1,0,0,4,One Year,1,Mailed Check,DSL,0,1,4,0,50.79,196.47,1
CUST0116,63,Male,1,0,0,23,Two Year,0,Electronic Check,DSL,0,0,3,3,90.47,1950.9,0
CUST0117,55,Female,0,0,1,15,Two Year,1,Mailed Check,DSL,0,0,1,9,40.19,598.53,0
CUST0118,25,Female,0,1,1,43,Month-to-Month,0,Credit Card,No,1,1,3,4,87.34,3216.18,0
CUST0119,71,Female,0,0,1,29,Month-to-Month,1,Bank Transfer,No,0,0,1,6,116.99,3018.83,0
CUST0120,54,Male,0,1,1,36,Month-to-Month,1,Electronic Check,Fiber Optic,1,1,4,4,29.39,994.8,0
CUST0121,44,Female,0,1,1,13,Month-to-Month,0,Credit Card,Fiber Optic,1,1,3,0,87.26,1014.68,0
CUST0122,45,Female,0,0,1,32,Two Year,1,Electronic Check,Fiber Optic,0,1,4,6,64.38,1971.91,1
CUST0123,57,Female,0,0,1,71,Month-to-Month,0,Electronic Check,DSL,0,0,1,7,106.81,7309.37,0
CUST0124,51,Female,1,1,0,59,Month-to-Month,0,Credit Card,DSL,1,0,3,6,37.71,1925.37,0
CUST0125,49,Male,1,1,0,28,Month-to-Month,1,Mailed Check,DSL,0,0,4,3,89.26,2317.03,0
CUST0126,32,Male,0,1,0,66,Month-to-Month,1,Credit Card,Fiber Optic,1,1,1,7,103.81,6346.74,1
CUST0127,61,Male,0,1,0,42,One Year,1,Credit Card,DSL,1,1,4,4,114.46,4352.51,0
CUST0128,34,Female,1,1,0,45,Month-to-Month,0,Mailed Check,No,0,1,2,9,88.32,3934.41,1
CUST0129,50,Female,0,0,0,62,Month-to-Month,1,Bank Transfer,Fiber Optic,1,1,1,8,69.72,4210.8,1
CUST0130,64,Female,0,1,1,57,Month-to-Month,1,Credit Card,DSL,0,1,1,9,81.78,4449.74,0
CUST0131,63,Male,0,0,0,6,Month-to-Month,0,Electronic Check,Fiber Optic,0,1,1,4,106.89,613.86,0
CUST0132,69,Male,0,1,1,28,Month-to-Month,0,Credit Card,No,1,1,3,0,77.06,1983.46,1
CUST0133,71,Male,0,0,1,28,One Year,1,Credit Card,No,1,1,3,8,23.04,637.47,1
CUST0134,33,Male,0,1,1,44,One Year,1,Electronic Check,DSL,1,1,3,4,113.09,4748.01,0
CUST0135,46,Female,0,0,1,30,One Year,0,Mailed Check,DSL,1,0,2,5,88.95,2560.02,1
CUST0136,26,Male,0,0,1,62,Two Year,0,Bank Transfer,No,1,1,2,3,87.65,5321.56,0
CUST0137,50,Male,0,1,0,62,Two Year,0,Bank Transfer,DSL,1,0,1,5,41.57,2296.7,0
CUST0138,66,Female,0,1,0,1,Two Year,1,Electronic Check,Fiber Optic,0,0,2,7,85.89,83.4,1
CUST0139,46,Male,1,0,0,27,Month-to-Month,1,Mailed Check,DSL,1,1,4,2,59.39,1409.96,0
CUST0140,30,Female,0,0,1,62,Month-to-Month,1,Credit Card,Fiber Optic,1,1,1,4,85.12,4759.2,0
CUST0141,38,Female,0,0,1,3,Month-to-Month,1,Credit Card,Fiber Optic,0,1,1,1,30.66,82.81,0
CUST0142,38,Female,0,1,1,70,Two Year,1,Credit Card,No,1,0,4,1,85.78,5985.26,0
CUST0143,22,Female,0,1,0,72,Two Year,1,Credit Card,DSL,0,1,1,6,119.94,8449.85,0
CUST0144,27,Female,0,1,0,27,Two Year,1,Credit Card,Fiber Optic,1,0,2,9,24.82,640.1,1
CUST0145,23,Male,0,1,0,9,Month-to-Month,0,Electronic Check,Fiber Optic,1,1,3,9,117.72,1016.1,1
CUST0146,73,Male,0,0,0,62,Two Year,1,Credit Card,Fiber Optic,1,0,4,9,60.69,3515.61,1
CUST0147,68,Female,0,1,0,37,Month-to-Month,1,Credit Card,Fiber Optic,0,1,2,5,107.08,3930.52,1
CUST0148,74,Male,0,1,0,51,Month-to-Month,0,Mailed Check,Fiber Optic,1,1,4,3,98.24,4631.66,0
CUST0149,30,Female,0,1,1,44,Month-to-Month,1,Credit Card,DSL,0,0,4,4,76.7,3061.21,1
CUST0150,18,Male,0,1,0,24,Month-to-Month,1,Bank Transfer,Fiber Optic,1,1,1,0,93.84,1969.41,0
CUST0151,37,Male,0,1,0,59,Month-to-Month,1,Electronic Check,DSL,1,1,1,6,107.85,6159.09,1
CUST0152,74,Male,0,0,1,32,Month-to-Month,1,Electronic Check,Fiber Optic,1,0,2,7,60.41,1856.12,1
CUST0153,64,Male,0,1,0,52,Month-to-Month,1,Electronic Check,No,1,0,4,8,52.7,2487.33,0
CUST0154,63,Male,0,0,0,62,One Year,0,Bank Transfer,Fiber Optic,1,0,1,7,86.76,4592.58,0
CUST0155,25,Male,0,1,0,58,Two Year,0,Credit Card,Fiber Optic,0,0,1,4,100.78,5704.08,0
CUST0156,27,Male,0,1,0,52,One Year,1,Electronic Check,Fiber Optic,0,1,4,2,96.23,4261.94,1
CUST0157,26,Female,0,1,0,12,Month-to-Month,1,Bank Transfer,DSL,1,1,2,9,99.78,1144.14,0
CUST0158,66,Female,0,1,0,39,Two Year,1,Mailed Check,DSL,0,0,2,8,63.56,2467.78,0
CUST0159,58,Female,0,0,0,2,Two Year,0,Credit Card,Fiber Optic,0,0,4,5,101.78,186.39,0
CUST0160,20,Male,0,0,0,3,Month-to-Month,1,Bank Transfer,Fiber Optic,1,1,2,4,32.02,85.04,1
CUST0161,28,Male,1,1,0,56,Month-to-Month,1,Credit Card,Fiber Optic,0,0,1,2,74.45,3984.63,1
CUST0162,29,Female,0,0,1,59,Month-to-Month,1,Mailed Check,DSL,0,0,4,5,20.58,1180.91,0
CUST0163,27,Female,0,0,0,2,Month-to-Month,1,Bank Transfer,DSL,1,0,1,2,52.46,97.78,0
CUST0164,42,Male,0,1,1,2,One Year,1,Credit Card,Fiber Optic,0,1,3,9,56.65,112.74,1
CUST0165,66,Female,0,0,0,54,Two Year,0,Bank Transfer,Fiber Optic,0,1,3,5,59.62,2761.51,0
CUST0166,66,Female,0,0,0,1,Month-to-Month,0,Electronic Check,Fiber Optic,0,1,2,3,89.55,82.9,1
CUST0167,42,Female,0,1,1,19,Two Year,0,Credit Card,Fiber Optic,1,0,3,1,58.86,1071.11,0
CUST0168,28,Female,0,1,0,2,Two Year,1,Bank Transfer,DSL,1,1,1,7,64.87,127.07,0
CUST0169,71,Male,1,0,0,53,Two Year,0,Electronic Check,Fiber Optic,1,1,3,3,43.75,2033.28,0
CUST0170,53,Female,0,1,0,44,Month-to-Month,1,Mailed Check,Fiber Optic,0,1,1,8,57.33,2446.85,1
CUST0171,56,Female,0,1,0,32,Two Year,1,Credit Card,Fiber Optic,1,0,2,6,42.73,1275.62,0
CUST0172,70,Female,0,1,1,70,Month-to-Month,1,Credit Card,No,1,1,2,1,27.32,1739.3,0
CUST0173,43,Female,0,0,1,32,One Year,1,Mailed Check,No,1,1,1,3,80.34,2236.04,0
CUST0174,31,Male,0,1,0,68,Month-to-Month,1,Electronic Check,Fiber Optic,1,0,3,4,86.82,5784.47,0
CUST0175,56,Female,0,1,0,55,Month-to-Month,1,Mailed Check,Fiber Optic,0,0,2,2,81.95,3937.49,1
CUST0176,73,Female,1,0,0,56,One Year,0,Credit Card,Fiber Optic,0,1,4,8,66.35,3330.92,0
CUST0177,57,Female,0,0,1,17,Month-to-Month,1,Bank Transfer,DSL,0,1,2,4,57.98,880.69,1
CUST0178,18,Female,0,0,1,38,Month-to-Month,1,Electronic Check,Fiber Optic,0,1,3,1,106.33,3962.61,1
CUST0179,73,Female,0,0,1,24,Month-to-Month,1,Electronic Check,DSL,1,1,4,2,71.91,1641.11,1
CUST0180,71,Male,0,0,0,69,One Year,1,Electronic Check,DSL,1,1,3,8,67.92,4543.55,1
CUST0181,21,Female,0,1,1,70,Month-to-Month,1,Mailed Check,No,1,0,1,6,22.56,1401.65,1
CUST0182,47,Female,0,0,0,11,Two Year,1,Mailed Check,Fiber Optic,0,0,4,1,54.12,561.82,0
CUST0183,29,Male,0,1,0,16,Month-to-Month,0,Bank Transfer,No,0,1,3,8,58.02,868.69,0
CUST0184,73,Female,0,0,1,59,Month-to-Month,1,Bank Transfer,No,0,0,4,3,59.88,3444.33,0
CUST0185,52,Male,0,1,0,70,Month-to-Month,0,Electronic Check,Fiber Optic,0,0,3,8,78.02,5384.47,0
CUST0186,30,Female,0,1,1,3,Month-to-Month,0,Bank Transfer,Fiber Optic,0,1,4,1,73.36,187.47,0
CUST0187,69,Male,0,0,0,20,Month-to-Month,0,Mailed Check,Fiber Optic,1,1,3,9,80.79,1536.79,1
CUST0188,48,Male,0,0,1,59,Month-to-Month,0,Bank Transfer,Fiber Optic,0,0,1,3,96.49,4883.24,1
CUST0189,55,Female,0,0,0,36,Two Year,0,Mailed Check,Fiber Optic,1,0,4,4,101.3,3400.02,0
CUST0190,60,Male,0,0,0,19,One Year,1,Bank Transfer,DSL,0,0,4,1,91.81,1557.99,1
CUST0191,40,Female,0,0,0,67,Month-to-Month,1,Credit Card,Fiber Optic,1,0,4,9,115.55,6936.83,0
CUST0192,21,Male,1,0,0,19,Month-to-Month,0,Mailed Check,No,1,1,4,0,21.82,374.34,0
CUST0193,69,Male,0,1,0,20,Two Year,1,Credit Card,Fiber Optic,0,0,1,6,39.58,746.63,0
CUST0194,33,Female,0,1,0,71,Month-to-Month,0,Mailed Check,No,1,1,4,9,20.76,1326.72,1
CUST0195,24,Male,0,1,0,52,Month-to-Month,0,Bank Transfer,Fiber Optic,1,1,2,0,84.75,4230.3,1
CUST0196,39,Female,1,1,0,33,One Year,1,Credit Card,DSL,1,1,1,7,109.8,3299.75,1
CUST0197,46,Male,0,1,0,40,One Year,1,Bank Transfer,Fiber Optic,1,0,2,2,44.35,1526.09,1
CUST0198,28,Male,0,0,0,39,One Year,0,Mailed Check,Fiber Optic,0,1,4,9,112.7,4252.73,0
CUST0199,73,Female,0,0,1,1,Month-to-Month,0,Credit Card,No,1,0,3,5,26.03,23.24,1
CUST0200,50,Female,0,1,1,11,Month-to-Month,1,Electronic Check,Fiber Optic,1,0,2,6,113.44,1141.67,1
CUST0201,46,Male,0,1,0,57,One Year,0,Bank Transfer,DSL,0,1,4,9,55.16,2995.77,0
CUST0202,56,Female,0,0,0,50,Month-to-Month,1,Mailed Check,DSL,0,0,2,0,30.14,1356.1,1
CUST0203,29,Female,1,0,1,23,Month-to-Month,1,Credit Card,DSL,1,1,4,5,68.59,1354.32,0
CUST0204,24,Male,1,0,0,31,Month-to-Month,0,Bank Transfer,DSL,0,0,4,6,45.68,1283.09,1
CUST0205,72,Male,0,0,0,42,Month-to-Month,1,Credit Card,DSL,1,0,4,5,48.49,2019.61,1
CUST0206,56,Female,0,1,0,7,Two Year,0,Bank Transfer,Fiber Optic,1,1,3,3,50.73,336.03,0
CUST0207,59,Male,0,1,0,16,Two Year,1,Bank Transfer,DSL,1,1,2,0,100.3,1525.72,1
CUST0208,65,Female,0,0,0,60,One Year,1,Bank Transfer,No,0,1,1,8,73.92,4190.56,1
CUST0209,43,Female,0,0,0,2,Month-to-Month,1,Credit Card,Fiber Optic,0,1,1,3,51.13,89.97,0
CUST0210,57,Female,1,1,0,1,Month-to-Month,1,Credit Card,Fiber Optic,0,0,1,6,81.03,73.96,1
CUST0211,26,Female,0,1,0,48,Month-to-Month,1,Bank Transfer,DSL,1,1,1,6,91.62,4233.46,1
CUST0212,58,Female,0,1,0,12,Month-to-Month,0,Electronic Check,Fiber Optic,1,0,4,1,47.26,490.68,1
CUST0213,51,Female,1,0,0,69,Two Year,1,Electronic Check,Fiber Optic,1,1,2,0,61.35,3774.61,0
CUST0214,62,Male,0,1,0,37,Month-to-Month,1,Electronic Check,Fiber Optic,1,1,2,7,32.19,1061.74,1
CUST0215,30,Female,0,0,0,32,Month-to-Month,1,Mailed Check,DSL,0,1,3,7,38.11,1115.62,1
CUST0216,72,Male,0,0,1,9,Month-to-Month,1,Electronic Check,Fiber Optic,0,1,2,6,88.11,790.65,1
CUST0217,72,Female,0,0,0,19,One Year,0,Credit Card,DSL,1,0,2,7,38.14,623.3,0
CUST0218,53,Male,0,1,0,48,Month-to-Month,1,Electronic Check,DSL,0,1,2,2,72.52,3229.65,1
CUST0219,42,Male,0,1,0,3,Month-to-Month,1,Credit Card,Fiber Optic,0,0,3,1,90.9,239.13,0
CUST0220,41,Male,0,0,0,20,Month-to-Month,1,Mailed Check,DSL,0,0,1,6,30.69,611.1,1
CUST0221,61,Female,1,1,0,24,Two Year,1,Credit Card,No,0,0,2,7,76.73,1596.59,0
CUST0222,34,Male,1,0,0,54,Month-to-Month,0,Credit Card,DSL,0,1,3,0,45.66,2245.06,0
CUST0223,19,Male,0,1,1,33,Two Year,1,Credit Card,No,1,0,3,9,116.29,3686.69,0
CUST0224,30,Female,0,0,0,24,Two Year,0,Electronic Check,Fiber Optic,1,0,4,8,68.35,1567.7,1
CUST0225,48,Male,0,0,1,72,Month-to-Month,1,Bank Transfer,DSL,1,1,3,3,100.6,6616.01,1
CUST0226,46,Male,0,1,0,36,One Year,1,Credit Card,Fiber Optic,1,1,1,3,75.02,2435.99,0
CUST0227,67,Female,0,1,1,38,Month-to-Month,1,Electronic Check,Fiber Optic,1,0,2,2,24.34,841.35,0
CUST0228,45,Male,1,0,1,25,Two Year,1,Electronic Check,Fiber Optic,1,0,3,5,83.32,1853.12,0
CUST0229,44,Male,1,1,1,18,Month-to-Month,1,Electronic Check,Fiber Optic,0,1,1,0,115.14,1825.48,1
CUST0230,32,Female,0,0,0,66,Month-to-Month,0,Bank Transfer,No,1,1,3,5,80.16,4880.31,0
CUST0231,48,Male,0,0,0,54,Month-to-Month,0,Bank Transfer,Fiber Optic,0,0,3,1,101.92,4899.82,0
CUST0232,57,Male,0,0,1,35,Month-to-Month,0,Bank Transfer,DSL,0,1,3,8,108.42,3389.12,0
CUST0233,32,Male,0,0,1,61,Two Year,1,Bank Transfer,DSL,0,1,3,1,42.81,2476.96,0
CUST0234,50,Male,0,0,1,41,Month-to-Month,1,Mailed Check,DSL,1,1,3,6,41.2,1681.23,1
